month, money, popularity, ch4, co2, temp, sealvl
0,-100,0,800,290,-0.1360668,7.089544
1,-111,70,817.1053,289.2478,-0.1361081,6.909565
2,-68,69,750.8666,266.9459,-0.1324188,7.499136
3,-25,59,680.4551,239.6163,-0.2383425,16.89803
4,8,51,605.7632,203.3095,-0.2494146,33.78255
5,33,57,552.9171,177.888,-0.141295,46.4463
6,62,65,492.0259,161.5476,-0.04407144,57.39347
7,80,76,408.246,137.2412,0.01966727,64.68723
8,140,83,345.6899,118.6425,0.08616149,72.28651
9,200,83,275.1348,98.64015,0.1300258,77.28259
10,260,83,220.9795,82.051,0.2060426,85.88612
11,320,83,165.1692,50.90258,0.2486704,90.70592
12,380,83,99.66565,32.24361,0.3602301,103.337
